cid,FirstLastP,Rcpts,Spent,PACs,Indivs,Cand,Other,EndCash,LgIndivs,SmIndivs,enddate,ReleaseDate,VotePercent,Result,CRPICO,State,IncCID,Incumbent,primarydate,DistIDCurr,capeye,sort,SmLgIndivsNote,District,State_Abv
N00044245,Jerry Carl (R),1971321.5,1859348.91,387000.0,1044195.95,434655.5,105470.05,111972.59,999616.34,44579.61,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,64.88,W,O,Alabama,,,2020-03-03 00:00:00 +0000,    ,0,2,N,01,AL
N00044750,James Averhart (D),80094.95,78973.24,0.0,50849.95,29245.0,0.0,1121.71,37954.77,12895.18,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,35.04,L,O,Alabama,,,2020-03-03 00:00:00 +0000,    ,0,2,N,01,AL
N00041295,Barry Moore (R),650806.75,669367.7000000001,230281.65,408536.2,11500.0,488.9,-13633.28,346328.65,62207.55,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,65.3,W,O,Alabama,,,2020-03-03 00:00:00 +0000,    ,0,2,N,02,AL
N00045944,Phyllis Harvey-Hall (D),56049.68,55988.07000000001,2032.0,42411.95,10575.41,1030.32,0.0,27105.15,15306.8,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,34.61,L,O,Alabama,,,2020-03-03 00:00:00 +0000,    ,0,2,N,02,AL
N00045631,John Page (L),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2021-04-01 00:00:00 +0000,0.0, ,O,Alabama,,,2020-03-03 00:00:00 +0000,,0,2,N,02,AL
N00024759,Mike D Rogers (R),1193111.4300000002,1218563.76,744733.7,443369.0,0.0,5008.73,502233.7,438054.0,5315.0,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,67.54,W,I,Alabama,,,2020-03-03 00:00:00 +0000,AL03,0,1,N,03,AL
N00042603,Adia Winfrey (D),50273.2,40971.09,107.97,46912.89,700.0,2552.34,43.31,10430.0,36482.89,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,32.38,L,C,Alabama,,,2020-03-03 00:00:00 +0000,    ,0,2,N,03,AL
N00003028,Robert B Aderholt (R),1255076.11,1323812.08,739300.0,541121.78,0.0,-25345.67,647004.39,479663.0,61458.78,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,82.5,W,I,Alabama,,,2020-03-03 00:00:00 +0000,AL04,0,1,N,04,AL
N00033970,Rick Neighbors (D),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2021-04-01 00:00:00 +0000,0.0, ,C,Alabama,,,2020-03-03 00:00:00 +0000,,0,2,N,04,AL
N00030910,Mo Brooks (R),655364.7999999999,210045.13,250020.0,417354.83,0.0,-12010.03,1137501.18,395551.0,21803.83,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,95.81,W,I,Alabama,,,2020-03-03 00:00:00 +0000,AL05,0,1,N,05,AL
